,question,answer,source
13506,,,https://islamqa.info/en/answers/13506/conditions-of-accepting-dua
230200,,,https://islamqa.info/en/answers/230200/was-the-temple-of-sulayman-peace-be-upon-him-real-or-a-myth
70270,,,https://islamqa.info/en/answers/70270/can-you-pray-behind-someone-who-makes-mistakes-in-al-fatihah
106815,,,https://islamqa.info/en/answers/106815/can-women-work-in-islam
128923,,,https://islamqa.info/en/answers/128923/difference-between-riba-based-banks-and-islamic-banks
132417,,,https://islamqa.info/en/answers/132417/ruling-on-inviting-people-to-fast-together-on-a-particular-day-and-offer-supplication-dua-on-that-day
180341,,,https://islamqa.info/en/answers/180341/categories-of-actions-in-islam
114651,,,https://islamqa.info/en/answers/114651/if-there-is-money-left-over-from-a-waqf-it-may-be-donated-to-another-similar-waqf
22006,,,https://islamqa.info/en/answers/22006/conditions-of-accepting-invitations-in-islam
89888,,,https://islamqa.info/en/answers/89888/does-feeling-that-something-came-out-of-the-back-passage-break-wudu
458939,,,https://islamqa.info/en/answers/458939/is-money-earned-from-permissible-video-clips-which-include-background-music-regarded-as-haram
204257,,,https://islamqa.info/en/answers/204257/can-one-name-a-child-with-a-word-from-the-quran
448903,,,https://islamqa.info/en/answers/448903/repetition-of-stories-in-the-quran-with-different-wording
47516,,,https://islamqa.info/en/answers/47516/what-do-muslims-think-about-the-gospels
297787,,,https://islamqa.info/en/answers/297787/is-it-permissible-to-design-t-shirts-and-sell-them-via-amazon
175548,,,https://islamqa.info/en/answers/175548/discussion-on-the-meaning-of-the-words-hasbi-allah-wa-niam-al-wakil-allah-is-sufficient-for-me-and-he-is-the-best-disposer-of-affairs
235464,,,https://islamqa.info/en/answers/235464/how-will-people-pass-over-the-sirat
383804,,,https://islamqa.info/en/answers/383804/is-the-hadith-about-saying-allahu-rabbiy-la-sharika-lah-allah-is-my-lord-he-has-no-partner-at-times-of-distress-sahih
89873,,,https://islamqa.info/en/answers/89873/is-it-permissible-to-train-others-to-deal-with-banks
318430,,,https://islamqa.info/en/answers/318430/calling-upon-allah-with-the-supplication-of-dhun-nun
949,,,https://islamqa.info/en/answers/949/will-the-love-of-allah-save-you-from-punishment
10776,,,https://islamqa.info/en/answers/10776/the-best-means-to-increase-your-faith
141894,,,https://islamqa.info/en/answers/141894/is-studying-economics-prohibited-in-islam
468126,,,https://islamqa.info/en/answers/468126/is-there-any-basis-in-islamic-teachings-for-the-seven-keys-to-relieve-distress
